"key","message","comment","context"
"Arriving city","Gelen sehir",,
"Area of validity","Gecerlilik Alani",,
"Are you sure wants to remove selected lines?","Secilen cizgileri Kaldirmak istediginden Emin Misiniz?",,
"Application condition","Uygulama Durumu",,
"App timesheet","Uygulama Zaman cizelgesi",,
"App leave","Uygulama izni",,
"App exthrs","Uygulama Exths",,
"App expense","Uygulama Gider",,
"App employee","Uygulama calisani",,
"App Timesheet","Uygulama Zaman cizelgesi",,
"App Leave","Uygulama izni",,
"App Expense","Uygulama Gider",,
"App","Uygulama",,
"Apartment","Apartman",,
"Anomaly","Anomali",,
"Annual report","Yillik Rapor",,
"Annual gross salary","Yillik Brut Maas",,
"Annual expenses report","Yillik Giderler Raporu",,
"Analytic distribution template","Analitik Dagitim sablonu",,
"Analytic distribution lines","Analitik Dagitim Hatlari",,
"Analytic distribution","Analitik Dagitim",,
"Amount","Tutar",,
"Amendment types","Degisiklik Turleri",,
"Amendment type","Degisiklik Turu",,
"Amendment Date","Degisiklik Tarihi",,
"Amendment","Degisiklik",,
"Also export already exported payroll preparations","Ayrica ihracat Zaten ihrac Edilen Bordro Hazirliklarini",,
"Allow negative values for employee leaves","calisan Yapraklari icin Negatif Degerlere izin Verin",,
"Allow negative value for leaves","Yapraklar icin Negatif Degere izin Ver",,
"Allow expense creation","Gider Yaratmaya izin Ver",,
"Allow Injection","Enjeksiyona izin Ver",,
"All timesheets","Tum Zaman cizelgeleri",,
"All my extra hours","Tum Ekstra Saatlerim",,
"All my Timesheets","Tum Zaman cizelgelerim",,
"All my Leave Requests","Tum izin isteklerim",,
"All my Expenses","Tum Masraflarim",,
"All companies","Tum sirketler",,
"All","Hersey",,
"Alert if the manuf. order is finish","Manuf ise Uyari. Siparis Bitti",,
"Alerji","Alerji",,
"Afternoon","ogleden Sonra",,
"Advance management","ileri Yonetim",,
"Advance","ilerlemek",,
"Add lines","cizgiler Ekle",,
"Add an advance","Bir Avans Ekle",,
"Add a line","Bir cizgi Ekle",,
"Activity","Aktivite",,
"Active employees","Aktif calisanlar",,
"Active employee","Aktif calisan",,
"Active","Aktif",,
"Actions","Hareketler",,
"Action","Eylem",,
"Acquired","Edinilen",,
"Accounting","Muhasebe",,
"Account no","Hesap Hayir",,
"Account information","Hesap Bilgileri",,
"ADD A LINE","Bir cizgi Ekle",,
"AB+","Ab+",,
"AB","Ab",,
"A+","A+",,
"A leave request is already accepted over this or a portion of this period of time. Please cancel the previous one to accept this one.","Bu Veya Bu Surenin Bir Kismi uzerinde Bir izin Talebi Zaten Kabul Edilmektedir. Lutfen Bunu Kabul Etmek icin Bir oncekini iptal Edin.",,
"A","A",,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","<A Class='Fa Fa-Youtube' Href='Http://Www.Youtube.Com'Ght='_Blank' />",,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","<A Class='Fa Fa-Twitter' Href='Http://Www.Twitter.Com'Ght='_Blank' />",,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<A Class='Fa Fa--Linkedin' Href='Http://Www.Linkedin.Com'Ght='_Blank' />",,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","<A Class='Fa Fa-Facebook' Href='Http://Www.Facebook.Com'Ght='_Blank' />",,
"6 days week","6 Gun Hafta",,
"%d expenses treated successfully,","%D Masraflari Basariyla Ele Alindi,",,
"%d expense treated successfully,","%D Gider Basariyla Ele Alindi,",,
